affil_norm,mapped_to,label,latitude,longitude,match_type,score,suggestions
department of chemical engineering  university of california-santa barbara,,department of chemical engineering  university of california-santa barbara,,,suggested,,"[('university of california santa barbara', 0.6607142857142857)]"
department of chemical engineering  university of michigan,,department of chemical engineering  university of michigan,,,suggested,,"[('technical university of munich', 0.5909090909090909)]"
department of chemical engineering tsinghua university,,department of chemical engineering tsinghua university,,,unmapped,,[]
department of chemistry  abdul wali khan university  mardan  khyber pakhtunkhwa  23200  pakistan,,department of chemistry  abdul wali khan university  mardan  khyber pakhtunkhwa  23200  pakistan,,,unmapped,,[]
department of chemistry  north carolina state university  raleigh  nc 27695  usa,,department of chemistry  north carolina state university  raleigh  nc 27695  usa,,,unmapped,,[]
department of chemistry and earth sciences  college of arts and sciences  qatar university,,department of chemistry and earth sciences  college of arts and sciences  qatar university,,,unmapped,,[]
department of civil and environmental engineering  university of wisconsin-madison,,department of civil and environmental engineering  university of wisconsin-madison,,,unmapped,,[]
department of energy netl,,department of energy netl,,,suggested,,"[('u.s. department of energy', 0.8)]"
department of environment  alborz campus  university of tehran,,department of environment  alborz campus  university of tehran,,,unmapped,,[]
department of forest biomaterials  college of natural resources  north carolina state university,,department of forest biomaterials  college of natural resources  north carolina state university,,,unmapped,,[]
department of gastroenterology and hepatology  mayo clinic  scottsdale,,department of gastroenterology and hepatology  mayo clinic  scottsdale,,,unmapped,,[]
department of industrial and computer engineering and economics  university of l aquila,,department of industrial and computer engineering and economics  university of l aquila,,,unmapped,,[]
department of internal medicine  university of michigan,,department of internal medicine  university of michigan,,,unmapped,,[]
department of mechanical engineering  university of michigan,,department of mechanical engineering  university of michigan,,,suggested,,"[('technical university of munich', 0.6222222222222222)]"
department of microbiology  faculty of medicine  university of chile,,department of microbiology  faculty of medicine  university of chile,,,unmapped,,[]
department of microbiology  new york university grossman school of medicine  new york  new york  10016  usa,,department of microbiology  new york university grossman school of medicine  new york  new york  10016  usa,,,unmapped,,[]
department of radiation oncology  new york university grossman school of medicine  new york  new york  10016  usa,,department of radiation oncology  new york university grossman school of medicine  new york  new york  10016  usa,,,unmapped,,[]
department of science  technology and society  university school for advanced studies iuss pavia  pavia  italy,,department of science  technology and society  university school for advanced studies iuss pavia  pavia  italy,,,unmapped,,[]
department of surgery  faculty of medicine in pilsen  charles university  prague  czech republic,,department of surgery  faculty of medicine in pilsen  charles university  prague  czech republic,,,unmapped,,[]
digital medicines manufacturing  loughborough university,,digital medicines manufacturing  loughborough university,,,unmapped,,[]
division of energy and environment technology  kist school  university of science and technology,,division of energy and environment technology  kist school  university of science and technology,,,suggested,,"[('east china university of science and technology', 0.6153846153846154)]"
division of pediatric infectious diseases  ucsf,,division of pediatric infectious diseases  ucsf,,,unmapped,,[]
doe center for advanced bioenergy and bioproducts innovation,,doe center for advanced bioenergy and bioproducts innovation,,,unmapped,,[]
doe center for advanced bioenergy and bioproducts innovation  university of illinois at urbana-champaign,,doe center for advanced bioenergy and bioproducts innovation  university of illinois at urbana-champaign,,,unmapped,,[]
doe center for advanced bioenergy and bioproducts innovation  university of illinois urbana-champaign,,doe center for advanced bioenergy and bioproducts innovation  university of illinois urbana-champaign,,,unmapped,,[]
doe great lakes bioenergy research center,,doe great lakes bioenergy research center,,,suggested,,"[('nasa glenn research center', 0.6268656716417911)]"
doe great lakes bioenergy research center  university of wisconsin-madison,,doe great lakes bioenergy research center  university of wisconsin-madison,,,unmapped,,[]
doe joint genome institute,,doe joint genome institute,,,unmapped,,[]
doe ne,,doe ne,,,unmapped,,[]
doe netl,,doe netl,,,suggested,,"[('netl', 0.6666666666666666)]"
donald danforth plant science center,,donald danforth plant science center,,,unmapped,,[]
dps group global,,dps group global,,,unmapped,,[]
dr  vishwanath karad mit world peace university,,dr  vishwanath karad mit world peace university,,,unmapped,,[]
dr vishwanath karad mit world peace university,,dr vishwanath karad mit world peace university,,,unmapped,,[]
drexel university,,drexel university,,,suggested,,"[('ege university', 0.8387096774193549), ('duke university', 0.8125), ('widener university', 0.7428571428571429), ('cornell university', 0.8), ('andrews university', 0.8)]"
drury university,,drury university,,,suggested,,"[('duke university', 0.8387096774193549), ('purdue university', 0.7878787878787878), ('auburn university', 0.7878787878787878), ('aarhus university', 0.7878787878787878), ('lund university', 0.7741935483870968)]"
dsm-firmenich science and research,,dsm-firmenich science and research,,,unmapped,,[]
dtu,,dtu,,,unmapped,,[]
e2h2nano  llc,,e2h2nano  llc,,,unmapped,,[]
east carolina university,,east carolina university,,,suggested,,"[('west virginia university', 0.7916666666666666), ('north carolina state university', 0.7636363636363637), ('western university', 0.7619047619047619), ('trine university', 0.75), ('qatar university', 0.75)]"
eastern regional research center  usda-ars,,eastern regional research center  usda-ars,,,unmapped,,[]
eastman chemical co,,eastman chemical co,,,suggested,,"[('dow chemical company', 0.6153846153846154), ('the dow chemical company', 0.6046511627906976)]"
easyxafs,,easyxafs,,,unmapped,,[]
eco carbon,,eco carbon,,,unmapped,,[]
ecodynamics group  department of physical sciences  earth and environment  university of siena  italy,,ecodynamics group  department of physical sciences  earth and environment  university of siena  italy,,,unmapped,,[]
electric power research institute,,electric power research institute,,,unmapped,,[]
eli lilly services india pvt  ltd,,eli lilly services india pvt  ltd,,,unmapped,,[]
embry-riddle aeronautical university,,embry-riddle aeronautical university,,,suggested,,"[('florida atlantic university', 0.6349206349206349), ('memorial university', 0.6181818181818182), ('texas aandm international university', 0.5555555555555556), ('yantai university', 0.49056603773584906), ('pukyong national university', 0.6031746031746031)]"
emmanuel college  university of cambridge,,emmanuel college  university of cambridge,,,suggested,,"[('university of cambridge', 0.71875)]"
en-ramps llc,,en-ramps llc,,,unmapped,,[]
energy and environmental research center,,energy and environmental research center,,,suggested,,"[('ibm almaden research center', 0.5373134328358209), ('state university of new york environmental science', 0.4888888888888889)]"
energy and environmental research center university of north dakota,,energy and environmental research center university of north dakota,,,unmapped,,[]
engineering and process science  core randd  the dow chemical company,,engineering and process science  core randd  the dow chemical company,,,unmapped,,[]
engineering science,,engineering science,,,suggested,,"[('gilead sciences', 0.6470588235294118)]"
engineers india limited,,engineers india limited,,,unmapped,,[]
ensic - école nationale supérieure des industries chimiques,,ensic - école nationale supérieure des industries chimiques,,,unmapped,,[]
environmental division,,environmental division,,,unmapped,,[]
epixc,,epixc,,,unmapped,,[]
epsrc future manufacturing research hub for continuous manufacturing and advanced crystallization,,epsrc future manufacturing research hub for continuous manufacturing and advanced crystallization,,,unmapped,,[]
escola politécnica da universidade de são paulo,,escola politécnica da universidade de são paulo,,,unmapped,,[]
escuela colombiana de ingeniería julio garavito,,escuela colombiana de ingeniería julio garavito,,,unmapped,,[]
eskisehir osmangazi university,,eskisehir osmangazi university,,,suggested,,"[('hongik university', 0.6808510638297872), ('western university', 0.6666666666666666), ('shiv nadar university', 0.5882352941176471), ('indiana university', 0.6666666666666666), ('boise state university', 0.6538461538461539)]"
espci paris  cnrs  psl university,,espci paris  cnrs  psl university,,,suggested,,"[('clarkson university', 0.6153846153846154), ('széchenyi istván university', 0.5666666666666667)]"
espe,,espe,,,unmapped,,[]
etech ethanol engineering and technology,,etech ethanol engineering and technology,,,suggested,,"[('university of engineering and technology lahore', 0.7126436781609196), ('clausthal university of technology', 0.6216216216216216)]"
eth zurich and university of zurich,,eth zurich and university of zurich,,,suggested,,"[('technical university of munich', 0.7384615384615385), ('american university of beirut', 0.6875), ('the university of utah', 0.6666666666666666), ('south china university of technology', 0.647887323943662), ('soka university of america', 0.6229508196721312)]"
european environmental agency,,european environmental agency,,,unmapped,,[]
evonik nutrition and care gmbh,,evonik nutrition and care gmbh,,,unmapped,,[]
ewha womans university,,ewha womans university,,,suggested,,"[('hampton university', 0.75), ('rowan university', 0.7368421052631579), ('lamar university', 0.7368421052631579), ('hoseo university', 0.6842105263157895), ('texas aandm university', 0.7272727272727273)]"
